digest,producer,creator,producer_folder,class,pre_path,post_path
"AF4I2VHMC6A56VICVEDIJ4MH5KRYKFTS","TCPDF 2.5.000_PHP4 (http://www.tcpdf.org)","Joomla! 1.5 - Open Source Content Management","TCPDF 2.5.000_PHP4 (http___www.tcpdf.org)","TCPDF","output/by_producer/TCPDF 2.5.000_PHP4 (http___www.tcpdf.org)/AF4I2VHMC6A56VICVEDIJ4MH5KRYKFTS_pre.pdf","output/by_producer/TCPDF 2.5.000_PHP4 (http___www.tcpdf.org)/AF4I2VHMC6A56VICVEDIJ4MH5KRYKFTS_post.pdf"
"ODFH5YT72ZKNG6YGIOKCH67FDHEFFFM3","Acrobat 4.0 Import Plug-in for Windows","Acrobat 4.0 Import Plug-in for Windows","Acrobat 4.0 Import Plug-in for Windows","Unknown","output/by_producer/Acrobat 4.0 Import Plug-in for Windows/ODFH5YT72ZKNG6YGIOKCH67FDHEFFFM3_pre.pdf","output/by_producer/Acrobat 4.0 Import Plug-in for Windows/ODFH5YT72ZKNG6YGIOKCH67FDHEFFFM3_post.pdf"
"VEXYPG46TFZM6MYGMJCVZ7WLIGRTSBAO","Unknown producer","HP Digital Sender 8100C","Unknown producer","Unknown","output/by_producer/Unknown producer/VEXYPG46TFZM6MYGMJCVZ7WLIGRTSBAO_pre.pdf","output/by_producer/Unknown producer/VEXYPG46TFZM6MYGMJCVZ7WLIGRTSBAO_post.pdf"
"FBTKGVAADTR36EKHKLGBXAUK5DI2LT5Z","libtiff / tiff2pdf - 20100615","-","libtiff _ tiff2pdf - 20100615","libtiff_tiff2pdf","output/by_producer/libtiff _ tiff2pdf - 20100615/FBTKGVAADTR36EKHKLGBXAUK5DI2LT5Z_pre.pdf","output/by_producer/libtiff _ tiff2pdf - 20100615/FBTKGVAADTR36EKHKLGBXAUK5DI2LT5Z_post.pdf"
"KBWCMQOKIWATS25U3Q563UWDJTVUIDLJ","TCPDF 2.5.000_PHP4 (http://www.tcpdf.org)","Joomla! 1.5 - Open Source Content Management","TCPDF 2.5.000_PHP4 (http___www.tcpdf.org)","TCPDF","output/by_producer/TCPDF 2.5.000_PHP4 (http___www.tcpdf.org)/KBWCMQOKIWATS25U3Q563UWDJTVUIDLJ_pre.pdf","output/by_producer/TCPDF 2.5.000_PHP4 (http___www.tcpdf.org)/KBWCMQOKIWATS25U3Q563UWDJTVUIDLJ_post.pdf"
"PPFVISZB3VX72X34A67YWBPDCA3BBVCF","GPL Ghostscript 8.15","PScript5.dll Version 5.2.2","GPL Ghostscript 8.15","Ghostscript","output/by_producer/GPL Ghostscript 8.15/PPFVISZB3VX72X34A67YWBPDCA3BBVCF_pre.pdf","output/by_producer/GPL Ghostscript 8.15/PPFVISZB3VX72X34A67YWBPDCA3BBVCF_post.pdf"
"VUMOVKDPOEUGGP54MMN5XZJ2S5QHSWPF","Acrobat Distiller 4.0 for Windows","-","Acrobat Distiller 4.0 for Windows","Acrobat_Distiller","output/by_producer/Acrobat Distiller 4.0 for Windows/VUMOVKDPOEUGGP54MMN5XZJ2S5QHSWPF_pre.pdf","output/by_producer/Acrobat Distiller 4.0 for Windows/VUMOVKDPOEUGGP54MMN5XZJ2S5QHSWPF_post.pdf"
"F3TG5IF7IJ4M3G6U255KCW355VLFMRBK","Acrobat PDFWriter 2.01 for Windows","cnk12b3.tmp","Acrobat PDFWriter 2.01 for Windows","Acrobat_PDFWriter","output/by_producer/Acrobat PDFWriter 2.01 for Windows/F3TG5IF7IJ4M3G6U255KCW355VLFMRBK_pre.pdf","output/by_producer/Acrobat PDFWriter 2.01 for Windows/F3TG5IF7IJ4M3G6U255KCW355VLFMRBK_post.pdf"
"QSFKS6NOWMHLYFCXK7RQWFMLMSLY5OVX","TCPDF 2.5.000_PHP4 (http://www.tcpdf.org)","Joomla! 1.5 - Open Source Content Management","TCPDF 2.5.000_PHP4 (http___www.tcpdf.org)","TCPDF","output/by_producer/TCPDF 2.5.000_PHP4 (http___www.tcpdf.org)/QSFKS6NOWMHLYFCXK7RQWFMLMSLY5OVX_pre.pdf","output/by_producer/TCPDF 2.5.000_PHP4 (http___www.tcpdf.org)/QSFKS6NOWMHLYFCXK7RQWFMLMSLY5OVX_post.pdf"
"ITLSXXTHX4ZLH5HA52B2YWCFQC3CXZ5L","TCPDF 2.5.000_PHP4 (http://www.tcpdf.org)","Joomla! 1.5 - Open Source Content Management","TCPDF 2.5.000_PHP4 (http___www.tcpdf.org)","TCPDF","output/by_producer/TCPDF 2.5.000_PHP4 (http___www.tcpdf.org)/ITLSXXTHX4ZLH5HA52B2YWCFQC3CXZ5L_pre.pdf","output/by_producer/TCPDF 2.5.000_PHP4 (http___www.tcpdf.org)/ITLSXXTHX4ZLH5HA52B2YWCFQC3CXZ5L_post.pdf"
